Id,Neighborhood,OverallCond,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BedroomAbvGr,KitchenQual,GarageCond
446,Edwards,5,1956,1436,1689,0,1689,3,TA,TA
447,NAmes,6,1966,1517,1888,0,1888,2,Gd,TA
448,Gilbert,5,1998,930,956,930,1886,4,Gd,TA
449,IDOTRR,6,1937,780,780,596,1376,3,TA,TA
450,OldTown,7,1948,649,679,504,1183,2,TA,TA
451,OldTown,8,1930,813,813,0,813,2,Gd,Fa
452,ClearCr,5,1975,1533,1533,0,1533,2,Gd,TA
453,Timber,5,1996,872,888,868,1756,3,TA,TA
454,Somerst,5,2008,768,786,804,1590,3,Gd,TA
455,Mitchel,5,1976,1728,1728,0,1728,4,TA,TA
456,NWAmes,6,1973,1242,1242,0,1242,3,TA,TA
457,OldTown,5,1916,624,624,720,1344,4,TA,Fa
458,ClearCr,6,1954,1364,1663,0,1663,2,Gd,TA
459,OldTown,7,1925,588,833,833,1666,3,Gd,TA
460,BrkSide,4,1950,709,979,224,1203,3,Gd,TA
461,Somerst,5,2009,832,832,1103,1935,3,TA,TA
462,SWISU,9,1936,560,575,560,1135,3,Gd,TA
463,Sawyer,5,1965,864,864,0,864,3,TA,TA
464,Crawfor,7,1934,715,849,811,1660,3,TA,TA
465,CollgCr,5,1978,1040,1040,0,1040,3,TA,
466,Blmngtn,5,2004,1375,1414,0,1414,2,Gd,TA
467,NAmes,5,1970,1277,1277,0,1277,2,TA,TA
468,NAmes,7,1942,728,888,756,1644,3,Gd,TA
469,NridgHt,5,2006,1626,1634,0,1634,3,Gd,TA
470,SawyerW,5,1993,832,832,878,1710,3,Gd,TA
471,StoneBr,5,1985,1488,1502,0,1502,1,Gd,TA
472,NWAmes,6,1977,808,1161,808,1969,3,TA,TA
473,Edwards,5,2005,547,1072,0,1072,2,TA,TA
474,NridgHt,5,2006,1976,1976,0,1976,2,Gd,TA
475,StoneBr,5,2000,1494,1652,0,1652,2,Ex,TA
476,Sawyer,6,1963,970,970,0,970,2,TA,TA
477,CollgCr,5,1997,1478,1493,0,1493,3,Gd,TA
478,NridgHt,5,2006,2153,2069,574,2643,3,Ex,TA
479,CollgCr,5,2007,1705,1718,0,1718,3,Gd,TA
480,OldTown,7,1937,907,1131,0,1131,2,TA,TA
481,NridgHt,5,2004,1833,1850,0,1850,3,Gd,TA
482,NridgHt,5,2003,1792,1792,0,1792,2,Ex,TA
483,OldTown,8,1915,910,916,910,1826,4,Ex,Fa
484,Mitchel,5,1998,1216,1216,0,1216,2,TA,TA
485,Sawyer,7,1962,999,999,0,999,3,Gd,TA
486,NAmes,7,1950,1113,1113,0,1113,3,Gd,TA
487,NAmes,7,1965,1073,1073,0,1073,3,TA,TA
488,NWAmes,6,1971,1484,1484,0,1484,3,TA,TA
489,OldTown,4,1900,954,1766,648,2414,3,TA,Fa
490,MeadowV,8,1970,630,630,0,630,1,Gd,TA
491,MeadowV,6,1976,264,616,688,1304,3,TA,TA
492,NAmes,7,1941,806,958,620,1578,3,Fa,TA
493,Gilbert,5,2006,728,728,728,1456,3,TA,TA
494,NAmes,6,1960,1269,1269,0,1269,3,TA,TA
495,OldTown,8,1938,190,886,0,886,2,TA,TA
496,IDOTRR,5,1920,720,720,0,720,2,TA,
497,NoRidge,5,1992,3200,3228,0,3228,4,Gd,TA
498,BrkSide,6,1925,1026,1133,687,1820,4,TA,TA
499,Sawyer,7,1967,864,899,0,899,3,Gd,TA
500,NAmes,7,1958,912,912,0,912,2,TA,TA
501,BrDale,5,1973,672,672,546,1218,3,TA,TA
502,Somerst,5,2005,866,866,902,1768,3,Gd,TA
503,Edwards,7,1965,1214,1214,0,1214,2,TA,Fa
504,Crawfor,8,1959,1501,1801,0,1801,1,TA,TA
505,NPkVill,5,1974,855,855,467,1322,3,TA,TA
506,OldTown,5,1952,960,960,1000,1960,4,TA,TA
507,SawyerW,5,1993,777,1065,846,1911,3,Gd,TA
508,Somerst,5,2009,1218,1218,0,1218,2,Gd,TA
509,OldTown,9,1928,689,689,689,1378,3,Gd,TA
510,NAmes,6,1959,1041,1041,0,1041,3,TA,TA
511,NAmes,7,1951,1008,1363,0,1363,2,TA,TA
512,NridgHt,5,2005,1368,1368,0,1368,2,Gd,TA
513,NAmes,5,1958,864,864,0,864,3,TA,TA
514,Mitchel,5,1983,1084,1080,0,1080,3,TA,TA
515,Crawfor,5,1926,768,789,0,789,2,TA,Po
516,NridgHt,5,2009,2006,2020,0,2020,3,Ex,TA
517,NWAmes,6,1972,689,1378,741,2119,3,TA,TA
518,NoRidge,5,1996,1264,1277,1067,2344,3,Gd,TA
519,CollgCr,5,1998,794,882,914,1796,3,TA,TA
520,Crawfor,9,1926,1276,1276,804,2080,3,Gd,TA
521,OldTown,7,1900,0,694,600,1294,3,TA,
522,NAmes,6,1957,1244,1244,0,1244,3,TA,TA
523,BrkSide,7,1947,1004,1004,660,1664,3,TA,TA
524,Edwards,5,2007,3138,3138,1538,4676,3,Ex,TA
525,NoRidge,5,1996,1379,1383,1015,2398,3,Gd,TA
526,Somerst,5,2005,1257,1266,0,1266,3,Gd,TA
527,NAmes,7,1956,928,928,0,928,2,TA,TA
528,NridgHt,5,2008,1452,1476,1237,2713,3,Ex,TA
529,Edwards,7,1920,528,605,0,605,2,TA,
530,Crawfor,3,1957,2035,2515,0,2515,4,TA,TA
531,Timber,5,1988,1461,1509,0,1509,3,Gd,TA
532,BrkSide,8,1920,611,751,611,1362,3,TA,Fa
533,NAmes,7,1955,0,827,0,827,2,TA,TA
534,BrkSide,3,1946,0,334,0,334,1,Fa,
535,Gilbert,5,2004,707,707,707,1414,3,Gd,TA
536,Edwards,7,1910,1117,820,527,1347,3,TA,
537,CollgCr,5,1998,880,880,844,1724,3,Gd,TA
538,NAmes,5,1972,864,864,0,864,3,TA,TA
539,Sawyer,5,1968,1051,1159,0,1159,3,TA,TA
540,CollgCr,5,2001,1581,1601,0,1601,3,Gd,TA
541,Timber,5,2006,1838,1838,0,1838,2,Ex,TA
542,NoRidge,5,2000,969,997,1288,2285,4,Gd,TA
543,NWAmes,5,1998,1650,1680,0,1680,3,Gd,TA
544,NAmes,5,1998,723,767,0,767,1,TA,TA
545,Gilbert,5,2006,654,664,832,1496,3,Gd,TA
546,NWAmes,5,1988,1204,1377,806,2183,4,Gd,TA
547,BrkSide,7,1923,1065,915,720,1635,3,TA,TA
548,Mitchel,7,1970,768,768,0,768,2,TA,TA
549,OldTown,7,1955,825,825,0,825,2,TA,TA
550,Somerst,5,2003,912,912,1182,2094,4,Gd,TA
551,NPkVill,6,1977,1069,1069,0,1069,2,TA,TA
552,OldTown,6,1957,928,928,0,928,3,TA,TA
553,NridgHt,5,2006,1709,1717,0,1717,3,Gd,TA
554,Edwards,5,1949,0,1126,0,1126,2,Gd,TA
555,NridgHt,5,2003,998,1006,1040,2046,3,Gd,TA
556,BrkSide,6,1922,993,1048,0,1048,2,TA,TA
557,NAmes,5,1957,1092,1092,0,1092,2,TA,TA
558,IDOTRR,6,1920,637,897,439,1336,3,TA,TA
559,Gilbert,5,1996,729,729,717,1446,3,TA,TA
560,Blmngtn,5,2003,1374,1557,0,1557,2,Gd,TA
561,Sawyer,6,1957,1392,1392,0,1392,3,TA,TA
562,Mitchel,5,1974,1389,1389,0,1389,2,TA,TA
563,Edwards,6,1940,996,996,0,996,3,TA,
564,Edwards,7,1918,1163,1163,511,1674,4,TA,TA
565,NoRidge,5,1992,1095,1166,1129,2295,4,Gd,TA
566,SWISU,4,1915,806,841,806,1647,4,Fa,TA
567,StoneBr,5,2005,1122,1134,1370,2504,4,Ex,TA
568,NridgHt,5,2004,1517,1535,0,1535,3,Gd,TA
569,SawyerW,8,1983,1496,1496,636,2132,1,Gd,TA
570,NAmes,5,1979,943,943,0,943,2,TA,TA
571,NAmes,5,1965,1728,1728,0,1728,6,TA,TA
572,NAmes,6,1959,864,864,0,864,2,Gd,TA
573,Timber,5,2009,846,846,846,1692,3,Gd,TA
574,Gilbert,5,2000,384,774,656,1430,3,TA,TA
575,NAmes,7,1971,372,576,533,1109,3,TA,TA
576,NAmes,5,1947,832,832,384,1216,2,TA,TA
577,SWISU,7,1928,861,877,600,1477,3,TA,TA
578,Sawyer,6,1966,1164,1320,0,1320,3,TA,TA
579,Somerst,5,2007,689,703,689,1392,2,Gd,TA
580,OldTown,5,1954,1050,1050,745,1795,4,TA,TA
581,NAmes,6,1960,1144,1429,0,1429,3,Gd,TA
582,NridgHt,5,2008,2042,2042,0,2042,3,Ex,TA
583,Edwards,5,1990,816,816,0,816,3,TA,
584,OldTown,9,1893,1237,1521,1254,2775,3,Gd,TA
585,BrkSide,7,1935,884,989,584,1573,3,Gd,TA
586,Timber,5,2005,1868,2028,0,2028,2,Gd,TA
587,BrkSide,7,1918,816,838,0,838,2,Fa,TA
588,Sawyer,6,1982,840,860,0,860,2,TA,TA
589,ClearCr,8,1968,1437,1473,0,1473,1,Ex,TA
590,BrkSide,6,1930,742,779,0,935,2,TA,TA
591,CollgCr,5,2004,770,770,812,1582,3,Gd,TA
592,NridgHt,5,2008,1722,1728,568,2296,3,Ex,TA
593,Mitchel,8,1982,816,816,0,816,2,TA,TA
594,CollgCr,5,2003,848,848,0,848,1,Gd,TA
595,CollgCr,6,1975,924,924,0,924,3,TA,TA
596,StoneBr,5,2005,1814,1826,0,1826,3,Gd,TA
597,OldTown,7,1910,684,684,684,1368,3,TA,Fa
598,Blmngtn,5,2006,1258,1402,0,1402,2,Gd,TA
599,Crawfor,6,1977,1430,1647,0,1647,3,Gd,TA
600,Blueste,6,1980,716,716,840,1556,3,TA,TA
601,NridgHt,5,2005,1058,1058,846,1904,3,Ex,TA
602,IDOTRR,6,1937,780,780,595,1375,3,Gd,TA
603,SawyerW,5,1992,908,927,988,1915,3,Gd,TA
604,Somerst,5,2004,600,600,600,1200,2,Gd,TA
605,CollgCr,5,2002,1494,1494,0,1494,3,Gd,TA
606,NAmes,6,1965,768,1186,800,1986,3,TA,TA
607,CollgCr,5,1996,1040,1040,0,1040,3,Gd,TA
608,Edwards,8,1948,896,1112,896,2008,3,Ex,TA
609,Crawfor,6,1934,965,1940,1254,3194,4,TA,TA
610,Sawyer,5,1961,1029,1029,0,1029,3,TA,TA
611,CollgCr,5,2000,1440,1476,677,2153,3,Ex,TA
612,NWAmes,6,1978,1032,1032,0,1032,3,TA,TA
613,CollgCr,5,2001,1299,1299,573,1872,3,Ex,TA
614,Mitchel,5,2007,1120,1120,0,1120,3,TA,
615,MeadowV,6,1972,630,630,0,630,1,TA,
616,NAmes,7,1963,936,1054,0,1054,3,Gd,TA
617,Gilbert,5,2002,783,807,702,1509,3,Gd,TA
618,NAmes,6,1954,832,832,0,832,2,Gd,TA
619,NridgHt,5,2007,1822,1828,0,1828,3,Gd,TA
620,Timber,5,2003,1482,1482,780,2262,4,Gd,TA
621,Edwards,3,1914,864,864,0,864,2,TA,
622,NWAmes,7,1974,1522,1548,1066,2614,4,TA,TA
623,Sawyer,6,1977,980,980,0,980,3,TA,TA
624,Somerst,5,2000,756,756,756,1512,2,Gd,TA
625,NWAmes,5,1972,732,1012,778,1790,4,TA,TA
626,NAmes,6,1962,1116,1116,0,1116,3,TA,TA
627,NAmes,5,1960,978,1422,0,1422,3,TA,TA
628,NAmes,6,1955,1156,1520,0,1520,3,TA,TA
629,NAmes,5,1969,1040,1040,1040,2080,5,Fa,TA
630,NAmes,5,1964,1248,1350,0,1350,3,TA,TA
631,OldTown,6,1880,636,1089,661,1750,3,Ex,Po
632,NridgHt,5,2006,1554,1554,0,1554,2,Gd,TA
633,NWAmes,5,1977,1386,1411,0,1411,3,TA,TA
634,NAmes,7,1954,1056,1056,0,1056,3,TA,TA
635,OldTown,5,1980,1056,1056,0,1056,0,TA,TA
636,SWISU,7,1914,1440,1440,1440,3395,8,Fa,
637,BrkSide,3,1936,264,800,0,800,1,Fa,
638,OldTown,4,1954,811,811,576,1387,3,Gd,TA
639,Edwards,7,1910,796,796,0,796,2,TA,
640,Blmngtn,5,2006,1520,1567,0,1567,1,Ex,TA
641,NridgHt,5,2003,1518,1518,0,1518,1,Ex,TA
642,Somerst,5,2001,1057,1057,872,1929,3,Gd,TA
643,NAmes,7,1972,1952,2000,704,2704,4,Ex,TA
644,NWAmes,5,1969,780,780,840,1620,4,TA,TA
645,Somerst,5,2009,1766,1766,0,1766,2,Ex,TA
646,NAmes,5,1971,981,981,0,981,3,TA,TA
647,NAmes,5,1950,0,1048,0,1048,3,TA,TA
648,Edwards,5,1953,1094,1094,0,1094,3,TA,TA
649,NAmes,5,1966,756,1051,788,1839,4,TA,TA
650,MeadowV,6,1970,630,630,0,630,1,TA,
651,Somerst,6,2007,813,822,843,1665,3,Gd,TA
652,Edwards,5,1940,755,755,755,1510,4,TA,Po
653,CollgCr,5,1996,880,909,807,1716,2,Gd,TA
654,IDOTRR,7,1906,756,756,713,1469,3,TA,TA
655,NoRidge,6,1995,2109,2113,0,2113,2,Gd,TA
656,BrDale,5,1971,525,525,567,1092,3,TA,TA
657,NAmes,7,1959,1053,1053,0,1053,3,Gd,TA
658,Crawfor,6,1931,776,851,651,1502,3,TA,TA
659,NAmes,5,1948,912,912,546,1458,3,TA,TA
660,Edwards,7,1964,1486,1486,0,1486,3,TA,TA
661,NWAmes,7,1976,793,1142,793,1935,3,TA,TA
662,NoRidge,7,1994,1629,1686,762,2448,4,Gd,TA
663,NAmes,3,1968,1392,1392,0,1392,2,TA,TA
664,Edwards,5,1972,1138,1181,0,1181,3,TA,TA
665,Somerst,5,2005,2077,2097,0,2097,1,Ex,TA
666,Gilbert,5,2000,1406,1454,482,1936,3,Gd,TA
667,NAmes,5,1965,1021,1465,915,2380,3,TA,TA
668,SawyerW,5,1994,1408,1679,0,1679,3,Gd,TA
669,Sawyer,6,1956,1188,1437,0,1437,3,TA,TA
670,Crawfor,5,1922,700,1180,0,1180,2,Fa,Fa
671,CollgCr,5,2005,738,738,738,1476,3,Gd,TA
672,Edwards,6,1925,672,697,672,1369,3,TA,TA
673,Veenker,6,1977,1208,1208,0,1208,3,TA,TA
674,Crawfor,7,1957,1477,1839,0,1839,3,Gd,TA
675,NAmes,6,1965,1136,1136,0,1136,3,TA,TA
676,NPkVill,6,1978,855,855,586,1441,3,TA,TA
677,OldTown,2,1900,1095,1095,679,1774,4,TA,Fa
678,OldTown,8,1924,768,792,0,792,2,Gd,Fa
679,StoneBr,5,2008,2046,2046,0,2046,3,Gd,TA
680,Sawyer,5,1961,988,988,0,988,3,TA,TA
681,SawyerW,5,1980,923,923,0,923,2,TA,TA
682,SWISU,5,1932,793,848,672,1520,3,TA,TA
683,ClearCr,5,1996,1291,1291,0,1291,2,Gd,TA
684,CollgCr,5,2002,1626,1668,0,1668,3,Gd,TA
685,NoRidge,5,1998,1195,1195,644,1839,4,TA,TA
686,StoneBr,5,1984,1190,1190,900,2090,3,Gd,TA
687,Somerst,6,2007,874,874,887,1761,3,Gd,TA
688,Somerst,5,2004,551,551,551,1102,2,Gd,TA
689,StoneBr,6,2007,1419,1419,0,1419,2,Gd,TA
690,NridgHt,5,2005,1362,1362,0,1362,2,Gd,TA
691,CollgCr,5,2004,848,848,0,848,1,Gd,TA
692,NoRidge,6,1994,2444,2444,1872,4316,4,Ex,TA
693,Timber,5,1989,1210,1238,1281,2519,4,Gd,TA
694,OldTown,6,1921,1073,1073,0,1073,2,TA,TA
695,BrkSide,6,1936,927,1067,472,1539,3,TA,TA
696,Timber,6,1987,1112,1137,0,1137,2,Gd,TA
697,BrkSide,7,1921,616,616,0,616,2,TA,TA
698,Edwards,7,1952,980,1148,0,1148,2,TA,TA
699,Sawyer,8,1965,894,894,0,894,3,TA,TA
700,Somerst,5,2004,1391,1391,0,1391,2,Gd,TA
701,Timber,5,2002,1800,1800,0,1800,3,Gd,TA
702,NWAmes,5,1969,1164,1164,0,1164,3,TA,TA
703,StoneBr,5,2006,1234,1264,1312,2576,4,Ex,TA
704,OldTown,9,1900,360,1032,780,1812,4,Gd,TA
705,CollgCr,5,2004,1473,1484,0,1484,3,Gd,TA
706,IDOTRR,5,1930,0,372,720,1092,3,Fa,
707,ClearCr,5,1971,1643,1824,0,1824,2,Gd,TA
708,NridgHt,5,2006,1324,1324,0,1324,2,Gd,TA
709,Gilbert,5,2007,728,728,728,1456,3,Gd,TA
710,Sawyer,7,1966,876,904,0,904,3,TA,TA
711,BrkSide,6,1935,270,729,0,729,2,TA,
712,IDOTRR,7,1900,859,859,319,1178,2,TA,TA
713,StoneBr,5,1988,1228,1228,0,1228,2,Gd,TA
714,BrkSide,5,1970,960,960,0,960,3,TA,TA
715,Sawyer,8,1976,725,725,754,1479,3,Gd,TA
716,NWAmes,5,1974,1064,1350,0,1350,3,TA,TA
717,OldTown,8,1890,718,1576,978,2554,3,TA,TA
718,NWAmes,6,1973,1176,1178,0,1178,3,Gd,TA
719,NoRidge,5,1993,1311,1325,1093,2418,3,Gd,TA
720,CollgCr,6,1969,971,971,0,971,3,TA,TA
721,StoneBr,5,1985,1742,1742,0,1742,2,Gd,TA
722,CollgCr,5,2004,848,848,0,848,1,Gd,TA
723,NAmes,7,1970,864,864,0,864,3,TA,TA
724,Edwards,6,1954,941,997,473,1470,4,TA,TA
725,Edwards,5,2007,1698,1698,0,1698,3,Ex,TA
726,NAmes,6,1970,864,864,0,864,3,Gd,TA
727,Crawfor,9,1988,880,1680,0,1680,3,Gd,TA
728,CollgCr,5,2007,1232,1232,0,1232,2,Gd,TA
729,NAmes,5,1958,1584,1776,0,1776,4,TA,TA
730,IDOTRR,5,1925,780,848,0,1208,2,TA,TA
731,StoneBr,5,1995,1595,1616,0,1616,2,Gd,TA
732,Timber,5,2003,868,1146,0,1146,3,Gd,TA
733,CollgCr,5,1998,1153,1153,878,2031,3,Gd,TA
734,Sawyer,6,1961,864,1144,0,1144,3,TA,TA
735,Sawyer,5,1968,948,948,0,948,3,TA,TA
736,OldTown,7,1914,880,880,888,1768,2,TA,TA
737,NAmes,4,1950,0,1040,0,1040,2,TA,TA
738,Gilbert,5,2005,893,901,900,1801,3,Gd,TA
739,Edwards,5,1987,1200,1200,0,1200,3,TA,
740,CollgCr,5,2004,864,864,864,1728,3,Gd,TA
741,OldTown,7,1910,264,768,664,1432,2,TA,Gd
742,Sawyer,8,1961,912,912,0,912,3,Gd,TA
743,SawyerW,5,2000,1349,1349,0,1349,3,TA,TA
744,Sawyer,6,1963,520,1464,0,1464,3,TA,TA
745,StoneBr,5,1993,1337,1337,0,1337,2,Gd,TA
746,NWAmes,9,1976,1142,1175,1540,2715,4,Gd,TA
747,Gilbert,5,2000,952,980,1276,2256,4,Gd,TA
748,OldTown,7,1880,1240,1320,1320,2640,4,Gd,TA
749,NoRidge,5,1996,1720,1720,0,1720,3,Gd,TA
750,Edwards,3,1945,0,1088,441,1529,4,TA,TA
751,OldTown,7,1910,576,792,348,1140,3,TA,
752,Gilbert,5,2003,660,660,660,1320,3,Gd,TA
753,CollgCr,5,1997,1479,1494,0,1494,3,Gd,TA
754,NridgHt,5,2005,1030,1038,1060,2098,3,Ex,TA
755,NAmes,8,1969,1026,1026,0,1026,3,Gd,TA
756,Somerst,5,1999,729,742,729,1471,3,TA,TA
757,CollgCr,5,2007,866,866,902,1768,3,Gd,TA
758,Sawyer,5,1978,672,672,714,1386,3,TA,TA
759,Somerst,5,1999,744,757,744,1501,3,TA,TA
760,NoRidge,5,1995,1318,1328,1203,2531,4,Gd,TA
761,NAmes,6,1959,864,864,0,864,2,TA,Ex
762,BrkSide,5,1924,1145,1301,0,1301,2,Fa,TA
763,Somerst,5,2009,756,764,783,1547,3,Gd,TA
764,NoRidge,5,1999,1252,1268,1097,2365,3,Gd,TA
765,Veenker,5,1995,1494,1494,0,1494,2,Ex,TA
766,Somerst,5,2008,1498,1506,0,1506,2,Ex,TA
767,NWAmes,5,1988,980,980,734,1714,3,TA,TA
768,Mitchel,7,1940,983,983,767,1750,4,TA,TA
769,CollgCr,5,2004,1860,1836,0,1836,3,Gd,TA
770,StoneBr,5,2003,1650,1690,1589,3279,4,Ex,TA
771,Sawyer,5,1982,858,858,0,858,2,TA,TA
772,Edwards,5,1951,836,1220,0,1220,2,TA,TA
773,Edwards,5,1976,1029,1117,0,1117,3,TA,TA
774,NAmes,5,1958,912,912,0,912,2,TA,TA
775,NridgHt,5,2006,1935,1973,0,1973,3,Gd,TA
776,Mitchel,5,1998,1204,1204,0,1204,2,TA,TA
777,CollgCr,5,2005,1614,1614,0,1614,3,Gd,TA
778,Sawyer,5,1974,864,894,0,894,3,TA,TA
779,SawyerW,5,1977,0,2020,0,2020,4,TA,TA
780,Mitchel,5,1977,975,1004,0,1004,2,TA,TA
781,Gilbert,5,1995,1237,1253,0,1253,3,TA,TA
782,SawyerW,5,1992,761,810,793,1603,3,Gd,TA
783,CollgCr,5,2001,1413,1430,0,1430,3,Gd,TA
784,Mitchel,6,1978,1097,1110,0,1110,1,Gd,TA
785,OldTown,6,1914,742,742,742,1484,3,TA,
786,NWAmes,5,1967,1372,1342,0,1342,3,TA,TA
787,OldTown,6,1915,686,966,686,1652,4,TA,TA
788,SawyerW,5,2004,956,956,1128,2084,4,Gd,TA
789,OldTown,7,1954,901,901,0,901,2,TA,TA
790,ClearCr,8,1966,832,976,1111,2087,5,Gd,TA
791,Blmngtn,5,2005,1145,1145,0,1145,2,Gd,TA
792,Mitchel,5,1976,1029,1062,0,1062,3,TA,TA
793,NoRidge,5,1996,1117,1127,886,2013,3,TA,TA
794,Somerst,5,2007,1496,1496,0,1496,3,Gd,TA
795,Gilbert,5,1994,712,1086,809,1895,3,Gd,TA
796,SawyerW,6,1980,650,888,676,1564,3,TA,TA
797,Sawyer,5,1977,660,1285,0,1285,3,TA,TA
798,NAmes,5,1953,773,773,0,773,2,TA,TA
799,NridgHt,5,2008,1926,1966,1174,3140,4,Ex,TA
800,SWISU,7,1937,731,981,787,1768,3,Gd,TA
801,ClearCr,5,1997,616,616,1072,1688,4,Gd,TA
802,IDOTRR,7,1916,1196,1196,0,1196,2,TA,TA
803,CollgCr,5,2005,728,728,728,1456,3,Gd,TA
804,NridgHt,5,2008,1734,1734,1088,2822,4,Ex,TA
805,NAmes,5,1954,936,1128,0,1128,2,TA,TA
806,Somerst,5,2008,1417,1428,0,1428,3,Ex,TA
807,NAmes,5,1967,980,980,0,980,3,TA,TA
808,BrkSide,6,1923,1324,1072,504,1576,3,Gd,TA
809,NAmes,5,1966,1024,1086,0,1086,3,TA,TA
810,OldTown,5,1898,849,1075,1063,2138,2,TA,Po
811,NWAmes,6,1974,1040,1309,0,1309,3,Gd,TA
812,CollgCr,5,2004,848,848,0,848,1,Gd,TA
813,IDOTRR,5,1952,540,1044,0,1044,2,Fa,TA
814,NAmes,6,1958,1442,1442,0,1442,4,TA,TA
815,Edwards,7,1918,686,686,564,1250,3,Fa,TA
816,CollgCr,5,1998,1649,1661,0,1661,3,Gd,TA
817,NAmes,6,1954,1008,1008,0,1008,2,TA,TA
818,Mitchel,5,2002,1568,1689,0,1689,3,Gd,TA
819,ClearCr,7,1971,1010,1052,0,1052,3,TA,TA
820,NridgHt,5,2009,1358,1358,0,1358,2,Gd,TA
821,CollgCr,5,2003,798,798,842,1640,3,Gd,TA
822,OldTown,4,1953,936,936,0,936,2,TA,TA
823,Gilbert,5,2003,847,847,886,1733,3,Gd,TA
824,SWISU,7,1940,778,944,545,1489,3,TA,TA
825,Somerst,5,2006,1489,1489,0,1489,3,Gd,TA
826,NridgHt,5,2007,2078,2084,0,2084,2,Ex,TA
827,BrkSide,6,1924,784,784,0,784,2,Gd,
828,SawyerW,5,2001,1454,1434,0,1434,3,Gd,TA
829,ClearCr,5,1967,1013,1160,966,2126,3,TA,TA
830,Somerst,5,2005,600,520,623,1223,2,Gd,TA
831,NAmes,5,1957,1392,1392,0,1392,3,TA,TA
832,Somerst,5,2005,600,520,600,1200,2,Gd,TA
833,CollgCr,6,2003,941,941,888,1829,3,Gd,TA
834,NAmes,6,1964,1516,1516,0,1516,3,TA,TA
835,NAmes,6,1961,1144,1144,0,1144,3,TA,TA
836,Sawyer,7,1950,1067,1067,0,1067,2,Gd,TA
837,OldTown,6,1948,1559,1559,0,1559,2,TA,TA
838,BrDale,5,1973,483,483,504,987,2,TA,TA
839,CollgCr,6,1995,1099,1099,0,1099,3,Gd,TA
840,Edwards,6,1946,768,768,432,1200,3,TA,TA
841,SWISU,8,1925,672,810,672,1482,4,Fa,TA
842,OldTown,8,1904,650,958,581,1539,3,Gd,TA
843,NAmes,7,1966,1127,1165,0,1165,3,TA,Gd
844,NAmes,4,1961,1800,1800,0,1800,6,TA,
845,OldTown,8,1915,876,876,540,1416,4,TA,TA
846,Sawyer,5,1975,1390,1701,0,1701,3,TA,TA
847,SawyerW,5,1993,740,1006,769,1775,3,Gd,TA
848,CollgCr,6,1972,864,864,0,864,3,TA,TA
849,ClearCr,8,1908,907,1307,1051,2358,5,TA,TA
850,Veenker,7,1976,528,1094,761,1855,3,TA,TA
851,CollgCr,5,2003,848,848,0,848,1,Gd,TA
852,Blmngtn,5,2003,1273,1456,0,1456,2,Gd,TA
853,Crawfor,5,1941,918,918,728,1646,4,TA,TA
854,NAmes,6,1964,1127,1445,0,1445,3,TA,TA
855,Sawyer,4,1955,1763,1779,0,1779,3,TA,TA
856,Sawyer,8,1962,1040,1040,0,1040,3,TA,TA
857,CollgCr,6,1978,940,1026,0,1026,3,TA,Fa
858,Gilbert,5,1994,702,702,779,1481,3,TA,TA
859,NWAmes,5,1976,1090,1370,0,1370,3,TA,TA
860,NWAmes,7,1968,1054,1512,1142,2654,4,Gd,TA
861,Crawfor,8,1918,912,912,514,1426,3,Gd,TA
862,Sawyer,4,1965,1039,1039,0,1039,3,TA,TA
863,SawyerW,5,1984,1040,1097,0,1097,3,TA,TA
864,NAmes,5,1959,1148,1148,0,1148,3,TA,TA
865,Somerst,5,2007,1372,1372,0,1372,3,Gd,TA
866,NAmes,6,1970,1002,1002,0,1002,3,TA,TA
867,Timber,5,2006,1638,1646,0,1646,3,Gd,TA
868,Sawyer,5,1961,1040,1120,0,1120,3,Fa,TA
869,Gilbert,6,1948,0,1547,720,2320,2,TA,TA
870,SawyerW,5,1993,1050,1062,887,1949,3,Gd,TA
871,NAmes,5,1962,894,894,0,894,2,TA,TA
872,CollgCr,5,1998,804,804,878,1682,3,Gd,TA
873,NAmes,7,1953,105,910,0,910,3,Gd,TA
874,NAmes,7,1949,832,1036,0,1268,3,TA,TA
875,OldTown,6,1941,676,676,455,1131,3,TA,TA
876,Somerst,5,2007,1184,1184,1426,2610,4,Ex,TA
877,Mitchel,5,1963,1064,1040,0,1040,3,TA,TA
878,NridgHt,5,2004,1462,1462,762,2224,4,Ex,TA
879,Sawyer,7,1961,1109,1155,0,1155,3,Gd,TA
880,CollgCr,8,1978,864,864,0,864,3,TA,TA
881,Edwards,5,2005,1090,1090,0,1090,2,TA,TA
882,Timber,5,1990,1156,1187,530,1717,3,Gd,TA
883,Gilbert,5,1992,808,808,785,1593,3,TA,TA
884,SWISU,5,1912,795,954,795,2230,5,TA,Gd
885,NAmes,5,1967,892,892,0,892,3,TA,TA
886,Somerst,5,1999,1698,1709,0,1709,2,Gd,TA
887,NAmes,5,1959,1626,1712,0,1712,4,TA,TA
888,Edwards,7,1955,816,872,521,1393,3,TA,TA
889,NAmes,6,1970,2217,2217,0,2217,4,Gd,TA
890,NAmes,4,1953,1505,1505,0,1505,2,TA,TA
891,NAmes,7,1949,672,672,252,924,3,TA,TA
892,Sawyer,5,1978,918,918,765,1683,3,TA,TA
893,Sawyer,8,1963,1059,1068,0,1068,3,TA,TA
